Time [s],Channel 0,Channel 1
3.516029792,1,1
3.516032917,1,0
3.516033875,0,0
3.516036000,1,0
3.516037000,0,0
3.516039083,1,0
3.516040083,0,0
3.516041167,0,1
3.516042208,1,1
3.516043208,0,1
3.516044250,0,0
3.516045333,1,0
3.516046292,0,0
3.516048417,1,0
3.516049417,0,0
3.516051500,1,0
3.516052500,0,0
3.516053583,0,1
3.516054625,1,1
3.516055625,0,1
3.516056708,0,0
3.516057708,1,0
3.516058708,0,0
3.516060792,1,0
3.516061792,0,0
3.516063917,1,0
3.516064917,0,0
3.516067000,1,0
3.516068042,0,0
3.516070125,1,0
3.516071125,0,0
3.516073208,1,0
3.516074208,0,0
3.516076333,1,0
3.516077333,0,0
3.516079417,1,0
3.516080417,0,0
3.516082542,1,0
3.516083542,0,0
3.516085625,1,0
3.516086625,0,0
3.516088750,1,0
3.516089750,0,0
3.516091833,1,0
3.516092833,0,0
3.516094958,1,0
3.516095958,0,0
3.516098042,1,0
3.516099042,0,0
3.516101167,1,0
3.516102167,0,0
3.516104250,1,0
3.516105250,0,0
3.516107375,1,0
3.516108375,0,0
3.516110458,1,0
3.516111458,0,0
3.516113583,1,0
3.516114583,0,0
3.516116667,1,0
3.516117667,0,0
3.516119792,1,0
3.516120792,0,0
3.516122875,1,0
3.516123875,0,0
3.516126000,1,0
3.516127000,0,0
3.516129083,1,0
3.516130083,0,0
3.516132208,1,0
3.516133208,0,0
3.516135292,1,0
3.516136292,0,0
3.516138417,1,0
3.516139417,0,0
3.516141500,1,0
3.516142500,0,0
3.516144625,1,0
3.516145625,0,0
3.516147708,1,0
3.516148708,0,0
3.516150833,1,0
3.516151833,0,0
3.516153917,1,0
3.516154917,0,0
3.516157042,1,0
3.516158042,0,0
3.516159042,0,1
3.516160167,1,1
3.516161167,0,1
3.516162375,1,1
3.516163375,0,1
3.516165542,1,1
3.516166583,0,1
3.516167625,1,1
3.516168708,0,1
3.516169750,1,1
3.516170792,0,1
3.516171833,1,1
3.516172958,0,1
3.516173958,1,1
3.516175042,0,0
3.516176083,1,0
3.516177167,0,0
3.516177458,0,1
3.516178208,1,1
3.516179250,0,1
3.516180417,1,1
3.516181500,0,1
3.516182542,1,1
3.516183583,0,1
3.516184625,1,1
3.516185583,0,1
3.516186625,1,1
3.516187708,0,1
3.516188708,1,1
3.516189833,0,1
3.516190833,1,1
3.516191917,0,1
3.516192958,1,1
3.516194042,0,1
3.516195042,1,1
3.516196125,0,1
3.516197167,1,1
3.516198250,0,1
3.516199292,1,1
3.516200375,0,1
3.516201375,1,1
3.516202458,0,1
3.516203500,1,1
3.516204583,0,1
3.516205583,1,1
3.516206708,0,1
3.516207708,1,1
3.516208792,0,1
3.516209833,1,1
3.516210917,0,1
3.516211917,1,1
3.516213042,0,1
3.516214042,1,1
3.516215125,0,1
3.516216167,1,1
3.516217250,0,1
3.516218250,1,1
3.516219375,0,1
3.516220375,1,1
3.516221458,0,1
3.516222500,1,1
3.516223583,0,1
3.516224583,1,1
3.516225667,0,1
3.516226708,1,1
3.516227792,0,1
3.516228833,1,1
3.516229917,0,1
3.516230917,1,1
3.516232000,0,1
3.516233042,1,1
3.516234125,0,1
3.516235125,1,1
3.516236250,0,1
3.516237250,1,1
3.516238333,0,1
3.516239375,1,1
3.516240458,0,1
3.516241458,1,1
3.516242583,0,1
3.516243583,1,1
3.516244667,0,1
3.516245708,1,1
3.516246792,0,1
3.516248000,1,1
3.516249000,0,1
3.516250083,1,1
3.516251125,0,1
3.516253250,1,1
3.516254250,1,0
3.516255250,0,0
3.516257208,1,0
3.516258208,1,1
3.516261292,1,0
3.516262292,0,0
3.516264375,1,0
3.516265375,0,0
3.516267500,1,0
3.516268500,0,0
3.516269542,0,1
3.516270583,1,1
3.516271625,0,1
3.516272667,0,0
3.516273708,1,0
3.516274708,0,0
3.516276792,1,0
3.516277792,0,0
3.516279917,1,0
3.516280917,0,0
3.516281958,0,1
3.516283000,1,1
3.516284042,0,1
